Model,Pos_Precision,Neg_Precision,Pos_Recall,Neg_Recall,Pos_F1,Neg_F1,Accuracy,ErrorRate,Weighted_F1
DecisionTree,0.297,0.192,0.333,0.292,0.313,0.228,0.306,0.694,0.305
MLP,0.419,0.411,0.583,0.417,0.476,0.405,0.403,0.597,0.377
NaiveBayes,0.822,0.688,0.85,0.8,0.83,0.733,0.728,0.272,0.719
RandomForest,0.53,0.544,0.583,0.688,0.553,0.592,0.545,0.455,0.539
SVM,0.785,0.813,0.667,0.792,0.648,0.793,0.642,0.358,0.648
XGBoost,0.579,0.688,0.562,0.542,0.566,0.589,0.522,0.478,0.514
